# Img   rel_time   rel_X   rel_Y   rel_Z   roll   pitch   yaw
299    12.46102   -47173.52    1755.354    2986.844    1.153564    3.521118    161.5375   
301    12.51127   -47171.94    1750.375    2986.812     1.18103    3.526611     161.543   
302    12.56177   -47169.58    1742.906    2986.781    1.208496    3.532104     161.554   
303     12.6119      -47168    1737.918     2986.75    1.230469    3.537598    161.5649   
304    12.66227   -47165.63    1730.449    2986.688    1.257935    3.543091    161.5704   
305    12.68977   -47164.85    1727.959    2986.688    1.268921    3.548584    161.5814   
306    12.74615   -47162.48    1720.481    2986.625    1.290894    3.554077    161.5924   
307    12.77513   -47161.69    1717.992    2986.625     1.30188     3.55957    161.5979   
308    12.83827   -47158.54    1708.024    2986.562    1.334839    3.565063    161.6144   
310    12.86852   -47157.76    1705.534    2986.562    1.340332    3.570557    161.6199   
311    12.92765    -47155.4    1698.056      2986.5    1.373291    3.581543    161.6309   
312    12.98577   -47153.03    1690.578    2986.469    1.395264    3.587036    161.6473   
313    13.01478    -47151.4    1685.579    2986.438     1.40625    3.592529    161.6528   
314     13.0719   -47149.83      1680.6    2986.406    1.428223    3.603516    161.6638   
315     13.1289   -47147.47    1673.122    2986.375    1.455688    3.609009    161.6803   
316    13.15752    -47145.9    1668.134    2986.344    1.461182    3.614502    161.6858   
317    13.21463   -47143.55    1660.656    2986.281    1.488647    3.625488    161.7023   
319    13.27165   -47141.97    1655.667    2986.281    1.516113    3.630981    161.7133   
320    13.30002    -47140.4    1650.688     2986.25      1.5271    3.636475    161.7188   
321    13.35565   -47138.04     1643.21    2986.188    1.549072    3.647461    161.7297   
322    13.41203   -47136.48    1638.222    2986.156    1.571045    3.652954    161.7462   
323    13.44077   -47134.91    1633.234    2986.156    1.576538    3.652954    161.7517   
324    13.49665   -47132.56    1625.756    2986.094    1.593018     3.66394    161.7627   
325    13.55376   -47130.99    1620.767    2986.062    1.609497     3.66394    161.7737   
326    13.58203   -47129.42    1615.788    2986.062    1.620483    3.669434    161.7792   
328    13.63928   -47127.07    1608.301        2986     1.63147    3.674927    161.7902   
329    13.66802   -47126.29    1605.812        2986    1.636963     3.68042    161.7957   
330    13.72577   -47123.94    1598.334    2985.969    1.647949    3.685913    161.8011   
331    13.78327   -47121.59    1590.847    2985.906    1.653442    3.691406    161.8121   
332    13.81215   -47120.81    1588.358    2985.906    1.658936    3.691406    161.8176   
333    13.86977   -47118.46    1580.871    2985.875    1.669922    3.696899    161.8231   
334    13.92753   -47116.12    1573.393    2985.812    1.669922    3.702393    161.8341   
335    13.95578   -47114.55    1568.405    2985.812    1.669922    3.702393    161.8341   
337    14.01389   -47112.89    1563.424    2985.844    1.675415    3.707886    161.8451   
338     14.0429   -47111.33    1558.436    2985.812    1.675415    3.713379    161.8451   
339    14.10127   -47108.99    1550.958    2985.781    1.675415    3.718872    161.8506   
340    14.15953   -47106.65    1543.471     2985.75    1.675415    3.724365    161.8561   
341    14.18865   -47105.87    1540.972    2985.719    1.669922    3.724365    161.8616   
342    14.24678   -47103.52    1533.495    2985.688    1.664429    3.729858    161.8671   
343     14.2759   -47101.97    1528.498    2985.656    1.669922    3.735352    161.8671   
344    14.33415   -47099.63     1521.02    2985.625    1.669922    3.740845    161.8726   
346    14.39215   -47098.07    1516.023    2985.594    1.664429    3.751831    161.8781   
347    14.42128   -47096.51    1511.035    2985.594    1.664429    3.751831    161.8781   
348    14.47965   -47094.17    1503.548    2985.562    1.664429    3.762817    161.8835   
349    14.53778   -47091.84    1496.062    2985.531    1.658936    3.768311     161.889   
350     14.5669   -47091.06    1493.572      2985.5    1.653442    3.773804     161.889   
